%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698280329680740530,30,1698280329678893804,GPS1_Frame,42.27209166666667,-71.02800666666667,15.1,332759.3270878787,4681978.3071357515,19,T
1698280330680838723,31,1698280330678824424,GPS1_Frame,42.272119999999994,-71.02803666666667,15.1,332756.9279604318,4681981.512223513,19,T
1698280331680054397,32,1698280331678347349,GPS1_Frame,42.272145,-71.02806833333334,15.1,332754.3825707586,4681984.350449877,19,T
1698280332680854069,33,1698280332679578304,GPS1_Frame,42.272166666666664,-71.02810500000001,15.2,332751.4160226692,4681986.828363001,19,T
1698280333681282411,34,1698280333679337501,GPS1_Frame,42.27218,-71.028145,15.2,332748.15253879526,4681988.387484972,19,T
1698280334680747678,35,1698280334678722858,GPS1_Frame,42.27218166666667,-71.02819,15.2,332744.4458530453,4681988.660954061,19,T
1698280335679651526,36,1698280335678462505,GPS1_Frame,42.27217166666666,-71.028235,15.2,332740.7083072537,4681987.638948242,19,T
1698280336681015647,37,1698280336678580522,GPS1_Frame,42.272151666666666,-71.02828,15.1,332736.94430808176,4681985.506535638,19,T
1698280337680555818,38,1698280337678424358,GPS1_Frame,42.27212666666666,-71.02832333333335,14.9,332733.30452823336,4681982.8156462535,19,T
1698280338681399488,39,1698280338679258823,GPS1_Frame,42.2721,-71.02836833333335,14.7,332729.52288858726,4681979.942964998,19,T
1698280339680643844,40,1698280339678672552,GPS1_Frame,42.27207,-71.02841166666667,14.6,332725.8698760467,4681976.696874947,19,T
1698280340681030373,41,1698280340678791761,GPS1_Frame,42.27203833333333,-71.02844666666667,14.6,332722.8996923057,4681973.2493457645,19,T
1698280341681382090,42,1698280341679120063,GPS1_Frame,42.27200333333334,-71.02846833333334,14.6,332721.0202740446,4681969.405484688,19,T
1698280342681552546,43,1698280342679481506,GPS1_Frame,42.27196666666667,-71.02847,14.4,332720.7858255489,4681965.337260607,19,T
1698280343680400601,44,1698280343678764820,GPS1_Frame,42.271930000000005,-71.02845,14.5,332722.3382072246,4681961.226466998,19,T
1698280344681626376,45,1698280344680250406,GPS1_Frame,42.27189833333333,-71.02841833333333,14.4,332724.8659577449,4681957.647956516,19,T
1698280345680841924,46,1698280345679404258,GPS1_Frame,42.271865,-71.02838,14.5,332727.93909651536,4681953.871281096,19,T
1698280346681331227,47,1698280346679603338,GPS1_Frame,42.27183333333334,-71.02834166666666,14.5,332731.0166474781,4681950.2796752555,19,T
1698280347681332645,48,1698280347679873466,GPS1_Frame,42.27180333333334,-71.028305,14.6,332733.96116161556,4681946.876413313,19,T
1698280348680901422,49,1698280348679504156,GPS1_Frame,42.27178000000001,-71.02826666666667,14.6,332737.0607620434,4681944.210150892,19,T
1698280349680794961,50,1698280349679012298,GPS1_Frame,42.27176333333333,-71.02821999999999,14.7,332740.86524325237,4681942.267791382,19,T
1698280350681399807,51,1698280350680118799,GPS1_Frame,42.27175999999999,-71.02816833333333,14.9,332745.11734051374,4681941.79615656,19,T
1698280351680866200,52,1698280351678906440,GPS1_Frame,42.27177333333334,-71.02811833333334,15.0,332749.27607250435,4681943.178479469,19,T
1698280352679714456,53,1698280352678056716,GPS1_Frame,42.271793333333335,-71.02807333333334,15.1,332753.04008925706,4681945.310899092,19,T
1698280353681306014,54,1698280353679198265,GPS1_Frame,42.27181666666667,-71.02803333333333,15.1,332756.4005737434,4681947.82327855,19,T
