%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698454906299203808,46,1698454906295965194,GPS1_Frame,42.266956666666665,-71.01970333333334,12.9,333430.56845993316,4681391.835872123,19,T
1698454907302222332,47,1698454907298421621,GPS1_Frame,42.266985000000005,-71.01970166666666,13.0,333430.78054229077,4681394.978765757,19,T
1698454908298636873,48,1698454908297509670,GPS1_Frame,42.26701666666666,-71.01968166666667,13.0,333432.51345384883,4681398.455931259,19,T
1698454909297427379,49,1698454909295810222,GPS1_Frame,42.267048333333335,-71.01965,13.0,333435.2085770118,4681401.910275062,19,T
1698454910304888798,50,1698454910302374839,GPS1_Frame,42.267083333333325,-71.01961333333334,13.0,333438.32485331333,4681405.7249749005,19,T
1698454911296591799,51,1698454911295355796,GPS1_Frame,42.267118333333336,-71.01957333333333,13.0,333441.7160440774,4681409.53315571,19,T
1698454912299561843,52,1698454912296765089,GPS1_Frame,42.26715166666666,-71.01953666666667,13.0,333444.8279243831,4681413.162790397,19,T
1698454913300969980,53,1698454913297423839,GPS1_Frame,42.267176666666664,-71.01950000000001,12.9,333447.91785567626,4681415.867086958,19,T
1698454914298100503,54,1698454914296164512,GPS1_Frame,42.26718833333333,-71.01946,12.9,333451.24758928013,4681417.084321753,19,T
1698454915302250258,55,1698454915299627065,GPS1_Frame,42.267183333333335,-71.01942166666666,12.8,333454.39597291435,4681416.454139159,19,T
1698454916299847421,56,1698454916296452522,GPS1_Frame,42.267163333333336,-71.019385,12.6,333457.3673979807,4681414.161606888,19,T
1698454917299468958,57,1698454917297114133,GPS1_Frame,42.26713333333334,-71.019345,12.5,333460.5874096157,4681410.752149035,19,T
1698454918296186475,58,1698454918295364618,GPS1_Frame,42.267096666666674,-71.01929666666666,12.5,333464.47716405673,4681406.586122601,19,T
1698454919299014422,59,1698454919296413898,GPS1_Frame,42.26705666666667,-71.019245,12.5,333468.63306396315,4681402.043443441,19,T
1698454920298242575,60,1698454920296796083,GPS1_Frame,42.26701333333334,-71.01919,12.4,333473.05511055345,4681397.124112068,19,T
1698454921299245862,61,1698454921297389507,GPS1_Frame,42.26697000000001,-71.01913166666667,12.4,333477.7520818373,4681392.198264783,19,T
1698454922299983352,62,1698454922297126054,GPS1_Frame,42.26692500000001,-71.01907166666666,12.5,333482.5821308689,4681387.084093632,19,T
1698454923305414638,63,1698454923304424047,GPS1_Frame,42.26688000000001,-71.01901166666667,12.5,333487.4121870347,4681381.96992604,19,T
1698454924299431348,64,1698454924297226905,GPS1_Frame,42.26683333333334,-71.01895166666667,12.5,333492.2378623799,4681376.670694139,19,T
1698454925296083367,65,1698454925295706987,GPS1_Frame,42.26678666666667,-71.01889166666666,12.4,333497.0635451299,4681371.371465801,19,T
1698454926299511713,66,1698454926297736644,GPS1_Frame,42.26674166666667,-71.01883166666667,12.3,333501.8936229663,4681366.257308894,19,T
1698454927332809824,67,1698454927330438375,GPS1_Frame,42.26669666666667,-71.01877333333333,12.2,333506.5862481476,4681361.146414416,19,T
1698454928299140159,68,1698454928296975851,GPS1_Frame,42.26665333333334,-71.01872,12.1,333510.87088804535,4681356.230367509,19,T
1698454929297539487,69,1698454929296318531,GPS1_Frame,42.26661166666666,-71.01867333333333,12.1,333514.6100814849,4681351.512426087,19,T
1698454930298099760,70,1698454930296654224,GPS1_Frame,42.266573333333326,-71.01863666666667,12.1,333517.5332941907,4681347.18417439,19,T
1698454931298369428,71,1698454931296743869,GPS1_Frame,42.266533333333335,-71.01861666666667,12.2,333519.07752205525,4681342.703442196,19,T
1698454932297831938,72,1698454932296389579,GPS1_Frame,42.266495,-71.01862166666666,12.2,333518.5642358596,4681338.456657319,19,T
1698454933333004486,73,1698454933329481840,GPS1_Frame,42.26645833333334,-71.018645,12.3,333516.5432730925,4681334.430785443,19,T
1698454934301311543,74,1698454934297458410,GPS1_Frame,42.26642333333333,-71.018685,12.4,333513.15209164337,4681330.6225690665,19,T
1698454935304402038,75,1698454935301836729,GPS1_Frame,42.26639,-71.01873333333333,12.5,333509.0779917401,4681327.015716077,19,T
1698454936301543091,76,1698454936298130512,GPS1_Frame,42.26636499999999,-71.01878833333333,12.6,333504.47598334926,4681324.347240165,19,T
1698454937300388279,77,1698454937297329425,GPS1_Frame,42.266351666666665,-71.01884666666666,12.7,333499.629764037,4681322.98076013,19,T
1698454938300292683,78,1698454938296977043,GPS1_Frame,42.26635666666666,-71.01890499999999,12.9,333494.8318085923,4681323.650029808,19,T
1698454939298756182,79,1698454939297092437,GPS1_Frame,42.266375000000004,-71.01895666666665,13.1,333490.6187993556,4681325.786808977,19,T
1698454940300413676,80,1698454940297608613,GPS1_Frame,42.266405,-71.01900833333335,13.1,333486.4365088672,4681329.219065767,19,T
1698454941300402511,81,1698454941297342538,GPS1_Frame,42.266439999999996,-71.01906166666666,13.2,333482.12992657546,4681333.209788092,19,T
1698454942302355085,82,1698454942298467397,GPS1_Frame,42.26648,-71.01911666666666,13.2,333477.6990537724,4681337.7589762295,19,T
1698454943298848770,83,1698454943296519756,GPS1_Frame,42.26652166666666,-71.01917333333334,13.2,333473.1351150103,4681342.496494732,19,T
1698454944314787678,84,1698454944313582181,GPS1_Frame,42.26656666666666,-71.01923166666667,13.2,333468.4424994857,4681347.60741175,19,T
1698454945299652670,85,1698454945298981189,GPS1_Frame,42.26661166666666,-71.01929166666667,13.1,333463.61243091966,4681352.721591838,19,T
1698454946297418354,86,1698454946296853303,GPS1_Frame,42.26665833333333,-71.01935166666667,13.0,333458.7867582953,4681358.020843359,19,T
1698454947301850617,87,1698454947298759937,GPS1_Frame,42.26670666666667,-71.01941333333333,13.0,333453.82802224555,4681363.508426218,19,T
1698454948303567839,88,1698454948302266836,GPS1_Frame,42.266754999999996,-71.01947333333332,12.9,333449.006753745,4681368.992752839,19,T
1698454949298844824,89,1698454949296705245,GPS1_Frame,42.266801666666666,-71.01953333333333,12.8,333444.18110369926,4681374.292015155,19,T
1698454950300318286,90,1698454950298478364,GPS1_Frame,42.266844999999996,-71.01958666666665,12.7,333439.89652024594,4681379.208104513,19,T
1698454951299881972,91,1698454951299227952,GPS1_Frame,42.26688166666666,-71.01963500000001,12.6,333436.0067632679,4681383.374144368,19,T
1698454952301860833,92,1698454952299875259,GPS1_Frame,42.266915000000004,-71.01967166666667,12.5,333433.07044711395,4681387.14722844,19,T
1698454953299990670,93,1698454953298094749,GPS1_Frame,42.266945,-71.019695,12.5,333431.2250290263,4681390.524095103,19,T
1698454954316502884,94,1698454954314746379,GPS1_Frame,42.26697333333333,-71.01970333333334,12.4,333430.6123559211,4681393.686550951,19,T
1698454955297875062,95,1698454955296582221,GPS1_Frame,42.267003333333335,-71.01969166666666,12.4,333431.65358263627,4681396.994950283,19,T
1698454956300344047,96,1698454956297872066,GPS1_Frame,42.26703666666667,-71.019665,12.4,333433.9407190881,4681400.644142591,19,T
1698454957300058075,97,1698454957298555135,GPS1_Frame,42.267073333333336,-71.01962833333333,12.3,333437.0613860599,4681404.643909784,19,T
1698454958296330726,98,1698454958295584917,GPS1_Frame,42.26711166666667,-71.01958666666665,12.3,333440.59881562716,4681408.818965591,19,T
1698454959300390207,99,1698454959297630548,GPS1_Frame,42.26714833333334,-71.01954500000001,12.2,333444.13185182115,4681412.8089552,19,T
