%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698708270242136695,76,1698708270240591764,GPS1_Frame,42.27176666666666,-71.02809666666667,11.3,332751.045274087,4681942.395644913,19,T
1698708271273738723,77,1698708271272592544,GPS1_Frame,42.27178333333333,-71.02807,11.3,332753.2885375386,4681944.19394252,19,T
1698708272241948368,78,1698708272240497112,GPS1_Frame,42.27180499999999,-71.02803333333333,11.2,332756.369716806,4681946.527801767,19,T
1698708273242798636,79,1698708273241275787,GPS1_Frame,42.27182500000001,-71.02799333333334,11.2,332759.7213833744,4681948.670046549,19,T
1698708274272184029,80,1698708274270810127,GPS1_Frame,42.27184666666667,-71.02795333333333,11.2,332763.0774558296,4681950.99736099,19,T
1698708275242325726,81,1698708275239877462,GPS1_Frame,42.27186833333334,-71.02792,11.2,332765.88373159163,4681953.337771783,19,T
1698708276243022209,82,1698708276241215229,GPS1_Frame,42.27189333333334,-71.02789333333334,11.2,332768.14902690187,4681956.06141451,19,T
1698708277243434760,83,1698708277241093873,GPS1_Frame,42.27192166666667,-71.02788000000001,11.2,332769.32354810135,4681959.181383206,19,T
1698708278242510667,84,1698708278240702390,GPS1_Frame,42.27195,-71.02788000000001,11.2,332769.3984808879,4681962.327541138,19,T
1698708279243192341,85,1698708279240693330,GPS1_Frame,42.27198,-71.02789333333334,11.2,332768.37823458476,4681965.684956432,19,T
1698708280243047833,86,1698708280240781784,GPS1_Frame,42.27200833333333,-71.027915,11.2,332766.66633996187,4681968.873672266,19,T
1698708281242452647,87,1698708281240786075,GPS1_Frame,42.27203833333333,-71.02794333333333,11.1,332764.40906195564,4681972.2605516575,19,T
1698708282242153208,88,1698708282240389108,GPS1_Frame,42.272065000000005,-71.02797166666666,11.1,332762.14297016757,4681975.277295618,19,T
1698708283275032837,89,1698708283273628473,GPS1_Frame,42.27209166666667,-71.02799833333333,11.1,332760.014328512,4681978.29076654,19,T
1698708284243052879,90,1698708284240586996,GPS1_Frame,42.27211833333334,-71.02802166666667,11.1,332758.1605848811,4681981.297690422,19,T
1698708285241588442,91,1698708285240128040,GPS1_Frame,42.27214333333333,-71.028045,11.1,332756.3024347207,4681984.119546732,19,T
1698708286241705985,92,1698708286239747762,GPS1_Frame,42.27216333333334,-71.028065,11.1,332754.70595733356,4681986.379651326,19,T
1698708287241046659,93,1698708287239665746,GPS1_Frame,42.272176666666674,-71.02807833333333,11.2,332753.64163966675,4681987.886387943,19,T
1698708288241141267,94,1698708288239246368,GPS1_Frame,42.27218333333334,-71.02808499999999,11.2,332753.10948100936,4681988.639756319,19,T
1698708289242902635,95,1698708289241464853,GPS1_Frame,42.27218666666666,-71.02809,11.2,332752.70595380553,4681989.019714506,19,T
1698708290241575260,96,1698708290239694356,GPS1_Frame,42.27219333333334,-71.02809666666667,11.3,332752.1737953398,4681989.773082962,19,T
1698708291242293427,97,1698708291240844964,GPS1_Frame,42.27220166666666,-71.02811333333334,11.3,332750.8213579858,4681990.7311636675,19,T
1698708292242710380,98,1698708292240364551,GPS1_Frame,42.272205,-71.02814333333335,11.3,332748.3561128146,4681991.16023276,19,T
1698708293243498112,99,1698708293241190671,GPS1_Frame,42.272196666666666,-71.02817666666667,11.3,332745.5851128026,4681990.300374096,19,T
1698708294242062454,100,1698708294240856885,GPS1_Frame,42.27217833333334,-71.02821333333333,11.3,332742.5127648817,4681988.336656123,19,T
1698708295243703673,101,1698708295242127895,GPS1_Frame,42.272153333333335,-71.02825333333334,11.3,332739.1478846884,4681985.639215446,19,T
1698708296242293866,102,1698708296240873575,GPS1_Frame,42.27212833333333,-71.028295,11.3,332735.6455538603,4681982.945050629,19,T
1698708297272792472,103,1698708297271999835,GPS1_Frame,42.272104999999996,-71.02833833333334,11.3,332732.0101810538,4681980.439230001,19,T
1698708298243369721,104,1698708298241764068,GPS1_Frame,42.27208,-71.02838166666668,11.3,332728.37039671326,4681977.748343067,19,T
1698708299241769262,105,1698708299240558862,GPS1_Frame,42.27205166666666,-71.02842000000001,11.3,332725.1341362012,4681974.677498141,19,T
1698708300242871081,106,1698708300240318298,GPS1_Frame,42.27202166666666,-71.02844833333333,11.3,332722.71815350745,4681971.401939098,19,T
1698708301244088310,107,1698708301242146730,GPS1_Frame,42.27198666666666,-71.02845833333335,11.4,332721.800873234,4681967.535155954,19,T
1698708302243160915,108,1698708302240805864,GPS1_Frame,42.27195166666667,-71.02844833333333,11.5,332722.53297333047,4681963.629077999,19,T
1698708303241915704,109,1698708303239977359,GPS1_Frame,42.27191500000001,-71.02842166666666,11.6,332724.63515051594,4681959.505186734,19,T
1698708304272713068,110,1698708304270584344,GPS1_Frame,42.271879999999996,-71.02838666666666,11.8,332727.4289821979,4681955.549991975,19,T
1698708305244283193,111,1698708305242002487,GPS1_Frame,42.27184666666667,-71.02835,11.8,332730.3646746236,4681951.776592157,19,T
1698708306242409563,112,1698708306240789413,GPS1_Frame,42.271815,-71.02831666666665,11.7,332733.0298815762,4681948.194810478,19,T
1698708307243011813,113,1698708307241588115,GPS1_Frame,42.271785,-71.02828333333333,11.8,332735.69950000197,4681944.798098024,19,T
1698708308241841236,114,1698708308240962266,GPS1_Frame,42.27176166666666,-71.02825,11.8,332738.38675548666,4681942.141659124,19,T
1698708309243099331,115,1698708309241527318,GPS1_Frame,42.271744999999996,-71.02821333333333,11.8,332741.36654489476,4681940.218945406,19,T
1698708310243401643,116,1698708310241037607,GPS1_Frame,42.27174166666667,-71.02817,11.8,332744.93139897566,4681939.76368144,19,T
1698708311244286580,117,1698708311241396188,GPS1_Frame,42.271750000000004,-71.028125,11.8,332748.66456061596,4681940.600622034,19,T
1698708312242685138,118,1698708312240525722,GPS1_Frame,42.27177166666667,-71.02808,11.8,332752.4329871231,4681942.918109476,19,T
1698708313274076772,119,1698708313272564172,GPS1_Frame,42.27179666666666,-71.028035,11.8,332756.2102273711,4681945.605735099,19,T
1698708314242446768,120,1698708314240419626,GPS1_Frame,42.27182333333334,-71.02799166666667,11.9,332759.85442403547,4681948.481704613,19,T
1698708315242792556,121,1698708315240769386,GPS1_Frame,42.27184833333334,-71.02794999999999,11.9,332763.35676110134,4681951.175881587,19,T
1698708316243101175,122,1698708316240827798,GPS1_Frame,42.27187000000001,-71.027915,11.9,332766.30048530694,4681953.513018788,19,T
