%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698455283308609125,1,1698455283306666851,GPS1_Frame,42.27364333333333,-71.03047666666666,13.3,332559.7379555665,4682155.4604025,19,T
1698455284307095731,2,1698455284305435419,GPS1_Frame,42.27364833333333,-71.03048166666667,13.3,332559.3388621078,4682156.025440655,19,T
1698455285309292401,3,1698455285306813716,GPS1_Frame,42.273663333333324,-71.030495,13.3,332558.27902685443,4682157.717277386,19,T
1698455286308433766,4,1698455286305732727,GPS1_Frame,42.27368666666666,-71.03051,13.5,332557.10381585354,4682160.337733169,19,T
1698455287309962134,5,1698455287306645154,GPS1_Frame,42.273720000000004,-71.03051,13.7,332557.19208953413,4682164.039097027,19,T
1698455288307231452,6,1698455288304395675,GPS1_Frame,42.27375666666667,-71.03048833333334,14.0,332559.07596946147,4682168.067984657,19,T
1698455289305445222,7,1698455289304198741,GPS1_Frame,42.273795,-71.03045166666668,14.1,332562.2012609426,4682172.252440474,19,T
1698455290311119686,8,1698455290308833837,GPS1_Frame,42.27383666666666,-71.03040666666668,14.0,332566.02259754634,4682176.790645226,19,T
1698455291308713669,9,1698455291306087732,GPS1_Frame,42.273876666666666,-71.03036166666668,14.0,332569.83951595746,4682181.143783751,19,T
1698455292311564561,10,1698455292307608366,GPS1_Frame,42.27391333333333,-71.03031666666668,14.0,332573.64760317793,4682185.12678785,19,T
1698455293342466941,11,1698455293339995622,GPS1_Frame,42.273946666666674,-71.03027833333334,14.0,332576.8970833423,4682188.752767657,19,T
1698455294310073211,12,1698455294307533264,GPS1_Frame,42.273975,-71.03024666666667,14.0,332579.58354466956,4682191.836654232,19,T
1698455295308344904,13,1698455295305871009,GPS1_Frame,42.27399666666667,-71.03022166666666,14.1,332581.70257542527,4682194.193378766,19,T
1698455296313601557,14,1698455296311303377,GPS1_Frame,42.274013333333336,-71.030205,14.2,332583.12114588264,4682196.01128639,19,T
1698455297308549664,15,1698455297306548833,GPS1_Frame,42.27402166666668,-71.030195,14.2,332583.96787478845,4682196.916962896,19,T
1698455298309928729,16,1698455298307749748,GPS1_Frame,42.274031666666666,-71.03018,14.2,332585.23134825355,4682197.997875537,19,T
1698455299305042148,17,1698455299304372549,GPS1_Frame,42.27405333333333,-71.03014833333333,14.2,332587.9001508327,4682200.341492341,19,T
1698455300323771636,18,1698455300321782827,GPS1_Frame,42.27410666666666,-71.03010166666667,14.6,332591.88978983567,4682206.17191049,19,T
1698455301305246674,19,1698455301303103923,GPS1_Frame,42.27416166666667,-71.03004166666666,14.8,332596.98338432366,4682212.1611816,19,T
1698455302307004927,20,1698455302304494619,GPS1_Frame,42.274215000000005,-71.02997666666667,15.2,332602.4848883198,4682217.955556828,19,T
1698455303305124928,21,1698455303303295850,GPS1_Frame,42.274271666666664,-71.029905,15.8,332608.54498184845,4682224.106964773,19,T
1698455304307898267,22,1698455304304948329,GPS1_Frame,42.27432833333334,-71.02982999999999,16.5,332614.8799514631,4682230.251824054,19,T
1698455305308896910,23,1698455305307386159,GPS1_Frame,42.27438666666667,-71.02974999999999,17.1,332621.6316516567,4682236.571926908,19,T
1698455306310023268,24,1698455306307682275,GPS1_Frame,42.274438333333336,-71.02967833333334,17.6,332627.6784769601,4682242.168145988,19,T
1698455307316183105,25,1698455307312230587,GPS1_Frame,42.274475,-71.02962333333333,18.0,332632.3111571044,4682246.131520942,19,T
1698455308307505742,26,1698455308305889844,GPS1_Frame,42.274498333333334,-71.02958833333334,18.2,332635.25922357175,4682248.653670166,19,T
1698455309308447828,27,1698455309304754734,GPS1_Frame,42.27451333333333,-71.02956666666667,18.4,332637.08568661066,4682250.276690632,19,T
1698455310307587437,28,1698455310305893659,GPS1_Frame,42.27452166666667,-71.02955333333333,18.4,332638.2072879309,4682251.175820574,19,T
1698455311309840649,29,1698455311308275938,GPS1_Frame,42.274525,-71.02954833333334,18.5,332638.6284398093,4682251.536127871,19,T
1698455312308951989,30,1698455312306549787,GPS1_Frame,42.274525,-71.02954666666666,18.4,332638.76588265505,4682251.532851506,19,T
1698455313326027508,31,1698455313323534488,GPS1_Frame,42.274525,-71.02954666666666,18.4,332638.76588265505,4682251.532851506,19,T
1698455314309071520,32,1698455314307601928,GPS1_Frame,42.274525,-71.02954666666666,18.4,332638.76588265505,4682251.532851506,19,T
1698455315309325248,33,1698455315308258295,GPS1_Frame,42.274525,-71.02954666666666,18.4,332638.76588265505,4682251.532851506,19,T
1698455316309300994,34,1698455316307160615,GPS1_Frame,42.274525,-71.02954666666666,18.4,332638.76588265505,4682251.532851506,19,T
1698455317309724208,35,1698455317306963682,GPS1_Frame,42.274525,-71.02954666666666,18.4,332638.76588265505,4682251.532851506,19,T
1698455318311326799,36,1698455318308017969,GPS1_Frame,42.274525,-71.02954666666666,18.5,332638.76588265505,4682251.532851506,19,T
